subject,slice_index,slice_position,slice_fraction,dice,iou,precision,recall,hausdorff,mask_area,pred_area,box_area,x_min,y_min,x_max,y_max
sub-003,10,10,0.9090909090909091,0.9747555441937752,0.950754270041142,0.9997378080755113,0.9509913954358399,2.8284271247461903,8019.0,7628.0,12288.0,93,61,189,189
sub-003,11,11,1.0,0.971709518820021,0.9449757015206145,0.9988400994200497,0.9460138104205901,3.0,6372.0,6035.0,9890.0,95,67,181,182
sub-004,0,0,0.0,0.9687678537421444,0.9394275161588181,0.9860438069393294,0.9520868425977915,4.242640687119285,10686.0,10318.0,18093.0,93,47,204,210
sub-004,1,1,0.09090909090909091,0.934991237586581,0.877918821501332,0.9050811858793117,0.9669457150254596,18.35755975068582,11587.0,12379.0,18810.0,91,46,205,211
sub-004,2,2,0.18181818181818182,0.9446690447879509,0.8951400886351686,0.9416831291979455,0.9476739562624255,14.866068747318506,12575.0,12655.0,19256.0,90,45,206,211
sub-004,3,3,0.2727272727272727,0.9561792597124503,0.9160378049673968,0.9498594545316418,0.9625837246901224,15.231546211727817,12989.0,13163.0,19256.0,89,45,205,211
sub-004,4,4,0.36363636363636365,0.9649313367988207,0.932238962596507,0.9793684542089929,0.950913678415781,10.198039027185569,13079.0,12699.0,18532.0,90,45,203,209
sub-004,5,5,0.45454545454545453,0.9700324187554361,0.9418086903116843,0.999918493764773,0.9418809980806142,7.615773105863909,13025.0,12269.0,17982.0,90,45,201,207
sub-004,6,6,0.5454545454545454,0.9760394359368055,0.9532002209770342,1.0,0.9532002209770342,5.0,12671.0,12078.0,17871.0,90,46,201,207
sub-004,7,7,0.6363636363636364,0.9646628065395095,0.9317378073854757,1.0,0.9317378073854757,7.280109889280518,12159.0,11329.0,17222.0,91,47,200,205
sub-004,8,8,0.7272727272727273,0.9623557428100384,0.9274428457939801,1.0,0.9274428457939801,8.06225774829855,11329.0,10507.0,16218.0,92,50,198,203
sub-004,9,9,0.8181818181818182,0.9578331794398276,0.9190785587714116,1.0,0.9190785587714116,8.94427190999916,10158.0,9336.0,14892.0,94,53,196,199
sub-004,10,10,0.9090909090909091,0.9727578475336323,0.9469606024227873,1.0,0.9469606024227873,4.242640687119285,9163.0,8677.0,13662.0,93,57,192,195
sub-004,11,11,1.0,0.9688095081751921,0.9395058583800305,1.0,0.9395058583800305,5.0,7852.0,7377.0,12384.0,92,62,188,191
sub-005,0,0,0.0,0.9562057754828839,0.9160864785635764,0.9963136395337252,0.9192021325489476,9.433981132056603,10879.0,10037.0,17712.0,92,51,200,215
sub-005,1,1,0.09090909090909091,0.9352851839352008,0.8784372771218004,0.9212166542009474,0.9497900779710393,16.97056274847714,11671.0,12033.0,18696.0,91,51,205,215
sub-005,2,2,0.18181818181818182,0.9512793842313293,0.9070856145362215,0.9698820734707729,0.9333768778576094,15.231546211727817,12248.0,11787.0,19024.0,91,51,207,215
sub-005,3,3,0.2727272727272727,0.9587378640776699,0.9207459207459208,0.9838923945533046,0.934837488166614,11.661903789690601,12676.0,12044.0,18792.0,91,51,207,213
sub-005,4,4,0.36363636363636365,0.9726327757024525,0.9467235791637024,0.9994158878504673,0.9472477064220184,3.605551275463989,12644.0,11984.0,18126.0,91,52,205,211
sub-005,5,5,0.45454545454545453,0.9628240393431692,0.9283131077714377,1.0,0.9283131077714377,10.770329614269007,12443.0,11551.0,17696.0,93,53,205,211
sub-005,6,6,0.5454545454545454,0.9606054054054054,0.9241970377766683,1.0,0.9241970377766683,8.94427190999916,12018.0,11107.0,17160.0,93,55,203,211
sub-005,7,7,0.6363636363636364,0.9605432189392549,0.9240819209039548,1.0,0.9240819209039548,7.280109889280518,11328.0,10468.0,16308.0,93,57,201,208
sub-005,8,8,0.7272727272727273,0.9768846210958768,0.9548137397194001,1.0,0.9548137397194001,3.605551275463989,10335.0,9868.0,15184.0,95,59,199,205
sub-005,9,9,0.8181818181818182,0.9675555555555555,0.9371502367628067,1.0,0.9371502367628067,6.4031242374328485,9292.0,8708.0,13900.0,97,63,197,202
sub-005,10,10,0.9090909090909091,0.9801267458315388,0.9610279922779923,0.9992472713586752,0.961724221202608,5.0,8282.0,7971.0,12610.0,96,67,193,197
sub-005,11,11,1.0,0.9667659867063947,0.9356699201419698,0.999526066350711,0.9360852197070573,5.0,6759.0,6330.0,10502.0,97,73,186,191
