subject_id,n_slices,mean_dice,median_dice,std_dice,min_dice,max_dice
sub-034,12,0.9673443040834222,0.9682416952471182,0.012933261519393106,0.9370213103694591,0.9788778877887789
sub-001,12,0.9675910288240588,0.9692793819526886,0.010494740641672617,0.94069599251255,0.9773036293274762
sub-104,12,0.9679575015291078,0.9675947000198214,0.008151373936192618,0.9524767801857585,0.9797418850215096
sub-029,12,0.9680177477281657,0.9720465460722719,0.012200492458905107,0.9401500610713662,0.981516452074392
sub-030,12,0.9684394433788303,0.9690306481494112,0.011283577154152577,0.9487484187526354,0.9845256976295598
sub-015,12,0.9689109029999985,0.9716484527815697,0.008567587543995123,0.9511965005575093,0.9780859623120898
sub-024,12,0.9692200482621108,0.9685877724478873,0.012337957528083646,0.9429774992294256,0.9882745852542927
sub-039,12,0.9692845031813832,0.9684050643348523,0.00740431089687801,0.9542506269999135,0.9794772089004105
sub-023,12,0.9694557670250171,0.9721914241083167,0.011319045554127185,0.9483948047943885,0.9817185359170092
sub-007,12,0.9699452738336687,0.9699275563312727,0.0050437115040213,0.9597379555070288,0.9776508149890775
sub-002,12,0.9699691245318159,0.9747209770108852,0.010436132810947466,0.9450530492538601,0.9782189589400714
sub-026,12,0.9700210149661337,0.9710738039086372,0.009679709555609935,0.9506388597615442,0.9876944896341717
sub-032,12,0.9700247690251781,0.9733873625622367,0.012657182007341327,0.9457989826346255,0.9843806175847881
sub-037,12,0.9700847308525491,0.9717146075279292,0.009824850273891851,0.9434743544669714,0.9813750101222771
sub-127,12,0.9702481784005527,0.9703179639418512,0.005062132576453673,0.9569767980364007,0.9767033373393732
sub-123,12,0.9703226550445048,0.9716994898847343,0.004724794179447119,0.9622216445715276,0.9773936170212766
sub-097,12,0.9710297341881599,0.9701107171184431,0.008691672577737928,0.9526546071964997,0.9846382189239332
sub-018,12,0.97117334351412,0.9721229014019757,0.011272478783780017,0.9480729785166793,0.9849262989395051
sub-020,12,0.9713558733726536,0.9717483511133997,0.01157158424709019,0.944142020040914,0.9865442567804331
sub-121,12,0.9718068454075096,0.9720997914658456,0.004647108965049377,0.9656311962987442,0.9791213220475614
sub-099,12,0.9719020899204813,0.9719868179970896,0.0058834156779228215,0.9584512770457133,0.979972927007046
sub-010,12,0.9727375497519953,0.9764043611273697,0.009844852422054996,0.9541024148967122,0.9843421529539689
sub-033,12,0.9737378742964341,0.9764610992667249,0.007839109477808488,0.958893927005129,0.9811540497617787
