subject_id,slice_index,component_count,retained_component_boxes,gt_area,coarse_size,perturbation,perturbation_radius,single_dice,single_iou,single_precision,single_recall,single_hausdorff_px,single_mask_area_pred,multi_dice,multi_iou,multi_precision,multi_recall,multi_hausdorff_px,multi_mask_area_pred,mask_only_dice,mask_only_iou,mask_only_precision,mask_only_recall,mask_only_hausdorff_px,mask_only_mask_area_pred,box_mask_dice,box_mask_iou,box_mask_precision,box_mask_recall,box_mask_hausdorff_px,box_mask_mask_area_pred,multi_over_single_dice,mask_only_over_single_dice,box_mask_over_multi_dice,best_mask_over_best_box_dice
sub-086,24,1,1,6711,32,none,1,0.9749065670048052,0.9510416666666667,0.99859375,0.9523170913425719,3.0,6400,0.9749065670048052,0.9510416666666667,0.99859375,0.9523170913425719,3.0,6400,0.0,0.0,1.0,0.0,nan,0,0.9783154530929011,0.9575513851653262,0.9995335820895522,0.9579794367456415,2.23606797749979,6432,0.0,-0.9749065670048052,0.003408886088095975,0.003408886088095975
sub-086,25,1,1,6758,32,none,1,0.9767019667170953,0.9544648137196925,0.9990714948932219,0.9553122225510506,2.8284271247461903,6462,0.9767019667170953,0.9544648137196925,0.9990714948932219,0.9553122225510506,2.8284271247461903,6462,0.0,0.0,1.0,0.0,nan,0,0.9783085178746882,0.9575380973516793,0.999845512127298,0.9576797869192069,2.23606797749979,6473,0.0,-0.9767019667170953,0.0016065511575928948,0.0016065511575928948
sub-086,26,1,1,6776,32,none,1,0.9744828627510191,0.9502355712603062,0.9975270479134467,0.9524793388429752,3.605551275463989,6470,0.9744828627510191,0.9502355712603062,0.9975270479134467,0.9524793388429752,3.605551275463989,6470,0.0,0.0,1.0,0.0,nan,0,0.9774764595103578,0.9559451893325475,0.998307431912602,0.9574970484061394,3.0,6499,0.0,-0.9744828627510191,0.0029935967593386348,0.0029935967593386348
sub-086,27,1,1,6804,32,none,1,0.9693808119755046,0.940580985915493,0.9981317141522653,0.9422398589065256,5.385164807134504,6423,0.9693808119755046,0.940580985915493,0.9981317141522653,0.9422398589065256,5.385164807134504,6423,0.0,0.0,1.0,0.0,nan,0,0.9735473660411486,0.9484581497797356,0.9990719257540603,0.949294532627866,5.0990195135927845,6465,0.0,-0.9693808119755046,0.004166554065643924,0.004166554065643924
sub-086,28,1,1,6840,32,none,1,0.9692909829896131,0.9404118592084124,0.9989140552280484,0.941374269005848,6.708203932499369,6446,0.9692909829896131,0.9404118592084124,0.9989140552280484,0.941374269005848,6.708203932499369,6446,0.0,0.0,1.0,0.0,nan,0,0.974166978659678,0.9496350364963504,0.9984650805832693,0.9510233918128655,5.830951894845301,6515,0.0,-0.9692909829896131,0.004875995670064914,0.004875995670064914
sub-086,29,1,1,6858,32,none,1,0.9649823028842534,0.9323341094295693,0.9978196542594612,0.9342373869932925,7.615773105863909,6421,0.9649823028842534,0.9323341094295693,0.9978196542594612,0.9342373869932925,7.615773105863909,6421,0.0,0.0,1.0,0.0,nan,0,0.9725003736362278,0.9464727272727272,0.9973942366646229,0.9488188976377953,6.4031242374328485,6524,0.0,-0.9649823028842534,0.007518070751974415,0.007518070751974415
sub-086,30,1,1,6855,32,none,1,0.9715227817745803,0.9446225590206937,0.9989212513484358,0.9455871626549963,5.830951894845301,6489,0.9715227817745803,0.9446225590206937,0.9989212513484358,0.9455871626549963,5.830951894845301,6489,0.0,0.0,1.0,0.0,nan,0,0.9791604644239357,0.9591717701953922,0.999544142227625,0.9595915390226112,5.385164807134504,6581,0.0,-0.9715227817745803,0.007637682649355382,0.007637682649355382
sub-086,31,1,1,6822,32,none,1,0.9729607931500676,0.9473453268977622,0.9976894639556377,0.9494283201407212,6.4031242374328485,6492,0.9729607931500676,0.9473453268977622,0.9976894639556377,0.9494283201407212,6.4031242374328485,6492,0.0,0.0,1.0,0.0,nan,0,0.980915461458178,0.962545720555962,0.9980279126213593,0.9643799472295514,3.605551275463989,6592,0.0,-0.9729607931500676,0.007954668308110424,0.007954668308110424
sub-086,32,1,1,6790,32,none,1,0.9760397830018083,0.9532008830022075,0.9992286331379204,0.9539027982326952,5.830951894845301,6482,0.9760397830018083,0.9532008830022075,0.9992286331379204,0.9539027982326952,5.830951894845301,6482,0.0,0.0,1.0,0.0,nan,0,0.9829392397485782,0.9664508534432019,0.9990873136598722,0.9673048600883652,2.0,6574,0.0,-0.9760397830018083,0.00689945674676995,0.00689945674676995
sub-086,33,1,1,6754,32,none,1,0.9714546700159854,0.94449378330373,0.9996866677111076,0.9447734675747705,6.082762530298219,6383,0.9714546700159854,0.94449378330373,0.9996866677111076,0.9447734675747705,6.082762530298219,6383,0.0,0.0,1.0,0.0,nan,0,0.9796195652173914,0.9600532623169108,0.9992300585155528,0.9607639917086171,3.0,6494,0.0,-0.9714546700159854,0.008164895201405953,0.008164895201405953
