subject_id,slice_index,gt_area,total_components,retained_components,discarded_components,discarded_component_area,single_box_x_min,single_box_y_min,single_box_x_max,single_box_y_max,component_boxes_xyxy,single_pred_area,multibox_pred_area,single_dice,single_iou,single_precision,single_recall,single_hausdorff_px,multibox_dice,multibox_iou,multibox_precision,multibox_recall,multibox_hausdorff_px,dice_change
sub-086,46,4245,1,1,0,0,39,37,144,116,"39,37,144,116",4121,4121,0.935692087018886,0.8791554357592093,0.9497694734287794,0.9220259128386337,5.830951894845301,0.935692087018886,0.8791554357592093,0.9497694734287794,0.9220259128386337,5.830951894845301,0.0
sub-086,47,3959,1,1,0,0,41,38,144,115,"41,38,144,115",3795,3795,0.9210729945834408,0.8536935213961272,0.9409749670619236,0.9019954533973226,5.830951894845301,0.9210729945834408,0.8536935213961272,0.9409749670619236,0.9019954533973226,5.830951894845301,0.0
sub-086,48,3640,1,1,0,0,42,39,144,114,"42,39,144,114",3480,3480,0.8977528089887641,0.8144750254841998,0.9183908045977012,0.878021978021978,7.0710678118654755,0.8977528089887641,0.8144750254841998,0.9183908045977012,0.878021978021978,7.0710678118654755,0.0
sub-086,49,3305,1,1,0,0,43,39,144,113,"43,39,144,113",3316,3316,0.8790212958767558,0.7841552142279709,0.8775633293124246,0.8804841149773072,7.810249675906654,0.8790212958767558,0.7841552142279709,0.8775633293124246,0.8804841149773072,7.810249675906654,0.0
sub-086,50,2856,1,1,0,0,45,40,144,112,"45,40,144,112",3130,3130,0.8526561977948547,0.7431566686080373,0.8153354632587859,0.8935574229691877,9.219544457292887,0.8526561977948547,0.7431566686080373,0.8153354632587859,0.8935574229691877,9.219544457292887,0.0
sub-086,51,2251,3,3,0,0,47,40,144,110,"47,40,95,90;93,58,144,97;49,80,91,110",2790,2715,0.8034120214243206,0.6714190981432361,0.7258064516129032,0.8996001776988005,10.816653826391969,0.8759565042287555,0.7792905768541741,0.8011049723756906,0.9662372278987117,9.848857801796104,0.07254448280443493
sub-086,52,1512,4,4,0,0,49,41,144,109,"49,41,93,75;95,59,144,96;62,65,92,87;52,82,85,109",2780,2058,0.5219012115563839,0.3530895334174023,0.4028776978417266,0.7407407407407407,18.384776310850235,0.7434173669467787,0.5916183682567989,0.6448007774538387,0.8776455026455027,8.54400374531753,0.22151615539039482
sub-086,53,700,4,2,2,7,52,42,144,105,"52,42,90,72;103,60,144,95",3175,1182,0.31329032258064515,0.1857405140758874,0.19118110236220473,0.8671428571428571,22.47220505424423,0.720510095642933,0.5631229235880398,0.5736040609137056,0.9685714285714285,29.274562336608895,0.40721977306228785
sub-086,54,274,2,2,0,0,57,44,144,95,"57,44,86,69;130,61,144,95",1973,455,0.024922118380062305,0.012618296529968454,0.01419158641662443,0.10218978102189781,39.6232255123179,0.710562414266118,0.551063829787234,0.5692307692307692,0.9452554744525548,8.602325267042627,0.6856402958860557
sub-086,55,89,2,1,1,4,68,47,144,94,"134,62,144,94",1948,83,0.0,0.0,0.0,0.0,43.04648650006177,0.9302325581395349,0.8695652173913043,0.963855421686747,0.898876404494382,69.12307863514182,0.9302325581395349
sub-086,56,59,1,1,0,0,135,63,144,93,"135,63,144,93",65,65,0.9516129032258065,0.9076923076923077,0.9076923076923077,1.0,1.0,0.9516129032258065,0.9076923076923077,0.9076923076923077,1.0,1.0,0.0
sub-086,57,41,1,1,0,0,136,64,144,92,"136,64,144,92",45,45,0.9534883720930233,0.9111111111111111,0.9111111111111111,1.0,1.0,0.9534883720930233,0.9111111111111111,0.9111111111111111,1.0,1.0,0.0
sub-086,58,27,1,1,0,0,137,67,144,91,"137,67,144,91",39,39,0.8181818181818182,0.6923076923076923,0.6923076923076923,1.0,3.0,0.8181818181818182,0.6923076923076923,0.6923076923076923,1.0,3.0,0.0
